一不小心,1
一手遮天,2
一文不值,3
一毛不拔,3
一成不變,3
一波三折,3
一直亮不滅,3
一怒之下,3
一挖再挖,1
一氣之下,3
一場空,2
一無所有,3
一無所長,3
一無是處,3
一塌糊塗,3
一團漆黑,2
一團糟,1
一窩蜂,1
一暴十寒,3
一樣產生,1
一髮千鈞,2
一顆老鼠屎壞了一鍋粥,3
一擲千金,3
一觸即潰,2
七零八落,2
七竅生煙,2
了不起,1
人不知，鬼不覺,3
人不為己，天誅地滅,3
人行問題,1
人行道凹洞,1
人行道凹槽,1
人行道地面高低,1
人行道困難,1
人行道坎坷,1
人行道坑洞,1
人行道前後高低,1
人行道時積水,1
人行道根本,1
人行道破洞,1
人行道破爛,1
人行道缺口,1
人行道嚴重不足,2
人形路障,1
人身危險,1
人身安全,1
人身安危,1
人身安危問題,1
人身攻擊,2
人身財產,1
人為財死，鳥為食亡,3
人員惡意,2
入口處都會積水,1
刁蠻,2
刁鑽,2
三天打魚兩天曬網,3
三心二意,1
三寶,1
上下落差,1
上述缺失,1
下雨天化糞池積水,2
下雨天汙水,1
下雨天坑洞,1
下雨天常會積水,1
下雨天都會積水,2
下雨天積水,2
下雨天積水情形,1
下流,3
下陷,1
下等,3
下賤,3
千金一擲,1
千鈞一髮,1
千瘡百孔,2
千篇一律,1
千變萬化,2
口是心非,3
口蜜腹劍,3
土地產權糾紛,2
土地錯誤,1
土地屬性疑義,1
土氣,1
土得掉渣,3
土裡土氣,3
大大的坑洞,1
大片積水情形,1
大失所望,3
大正街路口坑洞,1
大吃一驚,1
大地震,3
大坑洞,2
大坑疤,2
大災難,2
大阻塞,1
大雨路面積水,2
大型路障,2
大家危險,2
大浩劫,2
大海撈針,1
大缺口,2
大動肝火,3
大問題,2
大樓住戶生命,1
大樓住戶睡眠,1
大樓住戶機車,1
大噪音,1
大樹樹頭,1
大樹斷根,1
大錯特錯,3
大驚失色,3
孑然一身,3
寸草不生,2
小肚雞腸,3
小家子氣,3
小氣,2
小破洞,1
小缺,1
小缺口,1
小臭味,1
小疏忽,1
小,1
小落差,1
小擦傷,1
山搖地動,1
山窮水盡,1
