一五一十,2
一心一意,2
一目了然,3
一目瞭然,2
一如既往,2
一字不差地,1
一步一腳印,2
一刻千金,1
一定,1
一定深度,1
一定規模,1
一往情深,1
一板正經,3
一律,1
一流,1
一致,1
一致品質,1
一致美觀,1
一哥,1
一般速度,1
一乾二淨,1
一清二楚,2
一筆一劃,2
一筆不苟,2
一等,1
一絲不苟,1
一視同仁,2
一團和氣,2
一塵不染,1
一語雙關,2
一樣有效率,2
一樣健康,2
一樣補助,1
一體化,1
了當,1
了解合法性,1
了解狀況,1
了解政府,1
了解原因,1
了解案件,1
了解案情,1
了解情況,1
了解被,1
了解業者行為,1
了解詳情,1
了解路面問題,1
了解實情,1
人行安全,1
人員安全,2
人給家足,1
人歡馬叫,1
入木三分,3
入味,1
入神,1
入迷,1
十分重要,1
十分滿意,3
下酒,1
下飯,1
千方百計,2
千真萬確,2
千鈞一髮,1
土地賠償金部分,1
大人德政,1
大大方方,2
大大利益,1
大大的改變,1
大大幫忙,2
大公園,1
大方,2
大方向,1
大片土地,1
大片道路,1
大片榕樹,1
大片綠地,1
大功能,1
大功勞,1
大用途,2
大吉大利,1
大吉市民,1
大名鼎鼎,1
大地風情社區,1
大好事,2
大好青空,1
大安全,1
大安全性,1
大有作為,3
大快人心,2
大周,1
大和,1
大空地,1
大空間,1
大花盆,1
大型綠地,1
大型綠色,1
大城市,1
大建議,1
大政見,1
大政績,2
大盆栽,1
大紅大紫,1
大面積,1
大家安全,1
大眼睛,1
大創意,1
大富豪,1
大智慧,2
大游泳池,1
大筆大筆,1
大筆經費,1
大量,1
大想法,1
大慈大悲,2
大範圍,1
大膽,1
大雞腿,1
小小心願,1
小小安全,1
小小改善,1
小小建議,1
小心,1
小心翼翼,2
小心謹慎,2
小巧玲瓏,3
小市民安全,1
小有名氣,2
小希望,1
小協助,1
小型公園,1
小型音響,1
小型植物,1
小建議,1
小活動,1
小盆栽,1
小面額,1
小康,1
小康市場,1
小樹,1
小樹木,1
小樹枝,1
小樹苗,1
小嬰兒,1
山明水秀,1
山搖地動,1
工地安全,1
工商團體權益,1
工程必要性,1
工程技術,1
工程流程,1
工程流程進度,1
已改善用水,1
已知,1
才安全,1
才思敏捷,2
才能公平,1
才高八斗,2
才略過人,2
才華橫溢,2
不亢不卑,1
不可或缺,2
不可缺,2
不可缺少,2
不同凡響,3
不在話下,3
不含糊,2
不良改善,2
不言而喻,1
不足掛齒,1
不卑不亢,2
不咎既往,2
不定時會,1
不屈不撓,1
不武斷,1
不知疲倦,2
不洩氣,2
不畏艱險,2
不苟言笑,1
不限,1
不恥下問,2
不偏不倚,1
不動搖,2
不惜,1
不無小補,1
不費力,1
不費吹灰之力,1
不會弄錯,1
不會腐敗,1
不厭其煩,2
不懈怠,2
不錯,2
不驕不躁,1
不變,1
中用,1
中肯,1
中看,1
中意,1
中聽,1
丰姿綽約,1
五星級,1
五彩紛呈,3
井然有序,3
仁美,1
仁愛,1
仁慈,1
仁義,1
仁福,1
仁德,1
允許,2
內向,1
內向型,1
內斂,1
公平,1
公平正直,1
公平正義,1
公平原則,1
公平情況,1
公正,1
公正客觀,1
公共福利,1
公有利益,1
公有資源,1
公車便利性,2
公車英才,1
公益性質,1
公益,1
